1		1		2
1		34000		0
2		37000		0
3		39000		0
4		42000		0
5		45000		0
6		47000		0
7		50000		0
8		53000		0
9		55000		0
10		58000		0
11		61000		0
12		63000		0
13		66000		0
14		69000		0
15		71000		0
16		74000		0
17		77000		0
18		79000		0
19		82000		0
20		85000		0
21		87000		0
22		90000		0
23		93000		0
24		95000		0
25		98000		0
26		100000		0
27		103000		0
28		104000		0
29		105000		0
30		108000		0
31		110000		0
32		113000		0
33		115000		0
34		118000		0
35		121000		0
36		123000		0
37		126000		0
38		129000		0
39		131000		0
40		134000		0
41		137000		0
42		139000		0
43		142000		0
44		145000		0
45		147000		0
46		150000		0
47		153000		0
48		155000		0
49		158000		0
50		161000		0
51		163000		0
52		166000		0
53		169000		0
54		171000		0
55		174000		0
56		177000		0
57		179000		0
58		182000		0
59		185000		0
60		187000		0
61		190000		0
62		193000		0
63		195000		0
64		198000		0
65		201000		0
66		203000		0
67		206000		0
68		209000		0
69		211000		0
70		214000		0
71		217000		0
72		219000		0
73		221000		0
74		224000		0
75		227000		0
76		229000		0
77		232000		0
78		235000		0
79		237000		0
80		240000		0
81		243000		0
82		245000		0
83		248000		0
84		251000		0
85		253000		0
86		256000		0
87		259000		0
88		261000		0
89		264000		0
90		267000		0
91		269000		0
92		272000		0
93		275000		0
94		277000		0
95		280000		0
96		283000		0
97		285000		0
98		288000		0
99		291000		0
100		293000		0
101		296000		0
102		299000		0
103		301000		0
104		304000		0
105		307000		0
106		309000		0
107		312000		0
108		315000		0
109		317000		0
110		320000		0
111		323000		0
112		325000		0
113		328000		0
114		330000		0
115		333000		0
116		334000		0
117		335000		0
118		338000		0
119		340000		0
120		343000		0
121		345000		0
122		348000		0
123		351000		0
124		353000		0
125		356000		0
126		359000		0
127		361000		0
128		364000		0
129		367000		0
130		369000		0
131		372000		0
132		375000		0
133		377000		0
134		380000		0
135		383000		0
136		385000		0
137		388000		0
138		391000		0
139		393000		0
140		396000		0
141		399000		0
142		401000		0
143		404000		0
144		10000		0
145		13000		0
146		15000		0
147		18000		0
148		21000		0
149		23000		0
150		26000		0
151		29000		0
152		409000		0
153		412000		0
154		415000		0
155		417000		0
156		420000		0
157		423000		0
158		425000		0
159		428000		0
160             31000           0
161             407000          0
