1		1		2		3
1		701		17.5		-0.05
2		1		17.5		-0.33
3		601		17.5		-3.13
4		702		17.333		-0.05
5		2		17.333		-0.331
6		602		17.25		-3.13
7		703		17.167		-0.05
8		3		17.167		-0.33
9		704		17		-0.049
10		4		17		-0.33
11		104		17		-0.628
12		204		17		-1.03
13		304		17		-1.73
14		404		17		-2.43
15		504		17		-2.58
16		604		17		-3.13
17		705		16.833		-0.049
18		5		16.833		-0.33
19		706		16.667		-0.049
20		6		16.667		-0.33
21		606		16.75		-3.13
22		707		16.5		-0.049
23		7		16.5		-0.329
24		107		16.5		-0.628
25		207		16.5		-1.03
26		307		16.5		-1.73
27		407		16.5		-2.43
28		507		16.5		-2.58
29		607		16.5		-3.13
30		708		15.9		-0.037
31		8		15.9		-0.317
32		108		15.9		-0.616
33		208		15.9		-1.021
34		308		15.9		-1.724
35		408		15.9		-2.427
36		508		15.9		-2.58
37		608		15.9		-3.13
38		709		15		-0.019
39		9		15		-0.299
40		109		15		-0.598
41		209		15		-1.008
42		309		15		-1.715
43		409		15		-2.423
44		509		15		-2.58
45		609		15		-3.13
46		710		14.125		-0.002
47		10		14.125		-0.282
48		110		14.125		-0.581
49		210		14.125		-0.994
50		310		14.125		-1.706
51		410		14.125		-2.418
52		510		14.125		-2.58
53		610		14.125		-3.13
54		711		13.5		0.011
55		11		13.5		-0.269
56		111		13.5		-0.568
57		211		13.5		-0.985
58		311		13.5		-1.7
59		411		13.5		-2.415
60		511		13.5		-2.58
61		611		13.5		-3.13
62		712		12		0.041
63		12		12		-0.239
64		112		12		-0.538
65		212		12		-0.963
66		312		12		-1.685
67		412		12		-2.408
68		512		12		-2.58
69		612		12		-3.13
70		713		10.5		0.071
71		13		10.5		-0.209
72		113		10.5		-0.508
73		213		10.5		-0.94
74		313		10.5		-1.67
75		413		10.5		-2.4
76		513		10.5		-2.58
77		613		10.5		-3.13
78		714		10.375		0.074
79		14		10.375		-0.207
80		114		10.375		-0.506
81		214		10.375		-0.938
82		314		10.375		-1.669
83		414		10.375		-2.399
84		514		10.375		-2.58
85		614		10.375		-3.13
86		715		9		0.101
87		15		9		-0.179
88		115		9		-0.478
89		215		9		-0.918
90		315		9		-1.655
91		415		9		-2.393
92		515		9		-2.58
93		615		9		-3.13
94		716		7.5		0.131
95		16		7.5		-0.149
96		116		7.5		-0.449
97		216		7.5		-0.896
98		316		7.5		-1.641
99		416		7.5		-2.386
100		516		7.5		-2.58
101		616		7.5		-3.13
102		717		6.625		0.149
103		17		6.625		-0.132
104		117		6.625		-0.431
105		217		6.625		-0.882
106		317		6.625		-1.631
107		417		6.625		-2.381
108		517		6.625		-2.58
109		617		6.625		-3.13
110		718		4.75		0.186
111		18		4.75		-0.094
112		118		4.75		-0.393
113		218		4.75		-0.854
114		318		4.75		-1.613
115		418		4.75		-2.371
116		518		4.75		-2.58
117		618		4.75		-3.13
118		719		2.875		0.224
119		19		2.875		-0.057
120		119		2.875		-0.356
121		219		2.875		-0.826
122		319		2.875		-1.594
123		419		2.875		-2.362
124		519		2.875		-2.58
125		619		2.875		-3.13
126		720		1		0.261
127		20		1		-0.019
128		120		1		-0.318
129		220		1		-0.798
130		320		1		-1.575
131		420		1		-2.353
132		520		1		-2.58
133		620		1		-3.13
134		721		0		0.28
135		21		0		0
136		121		0		-0.299
137		221		0		-0.784
138		321		0		-1.566
139		421		0		-2.349
140		521		0		-2.58
141		621		0		-3.13
142		741		-17.5		-0.05
143		41		-17.5		-0.33
144		641		-17.5		-3.13
145		740		-17.333		-0.05
146		40		-17.333		-0.331
147		640		-17.25		-3.13
148		739		-17.167		-0.05
149		39		-17.167		-0.33
150		738		-17		-0.049
151		38		-17		-0.33
152		138		-17		-0.628
153		238		-17		-1.03
154		338		-17		-1.73
155		438		-17		-2.43
156		538		-17		-2.58
157		638		-17		-3.13
158		737		-16.833		-0.049
159		37		-16.833		-0.33
160		736		-16.667		-0.049
161		36		-16.667		-0.33
162		636		-16.75		-3.13
163		735		-16.5		-0.049
164		35		-16.5		-0.329
165		135		-16.5		-0.628
166		235		-16.5		-1.03
167		335		-16.5		-1.73
168		435		-16.5		-2.43
169		535		-16.5		-2.58
170		635		-16.5		-3.13
171		734		-15.9		-0.037
172		34		-15.9		-0.317
173		134		-15.9		-0.616
174		234		-15.9		-1.021
175		334		-15.9		-1.724
176		434		-15.9		-2.427
177		534		-15.9		-2.58
178		634		-15.9		-3.13
179		733		-15		-0.019
180		33		-15		-0.299
181		133		-15		-0.598
182		233		-15		-1.008
183		333		-15		-1.715
184		433		-15		-2.423
185		533		-15		-2.58
186		633		-15		-3.13
187		732		-14.125		-0.002
188		32		-14.125		-0.282
189		132		-14.125		-0.581
190		232		-14.125		-0.994
191		332		-14.125		-1.706
192		432		-14.125		-2.418
193		532		-14.125		-2.58
194		632		-14.125		-3.13
195		731		-13.5		0.011
196		31		-13.5		-0.269
197		131		-13.5		-0.568
198		231		-13.5		-0.985
199		331		-13.5		-1.7
200		431		-13.5		-2.415
201		531		-13.5		-2.58
202		631		-13.5		-3.13
203		730		-12		0.041
204		30		-12		-0.239
205		130		-12		-0.538
206		230		-12		-0.963
207		330		-12		-1.685
208		430		-12		-2.408
209		530		-12		-2.58
210		630		-12		-3.13
211		729		-10.5		0.071
212		29		-10.5		-0.209
213		129		-10.5		-0.508
214		229		-10.5		-0.94
215		329		-10.5		-1.67
216		429		-10.5		-2.4
217		529		-10.5		-2.58
218		629		-10.5		-3.13
219		728		-10.375		0.074
220		28		-10.375		-0.207
221		128		-10.375		-0.506
222		228		-10.375		-0.938
223		328		-10.375		-1.669
224		428		-10.375		-2.399
225		528		-10.375		-2.58
226		628		-10.375		-3.13
227		727		-9		0.101
228		27		-9		-0.179
229		127		-9		-0.478
230		227		-9		-0.918
231		327		-9		-1.655
232		427		-9		-2.393
233		527		-9		-2.58
234		627		-9		-3.13
235		726		-7.5		0.131
236		26		-7.5		-0.149
237		126		-7.5		-0.449
238		226		-7.5		-0.896
239		326		-7.5		-1.641
240		426		-7.5		-2.386
241		526		-7.5		-2.58
242		626		-7.5		-3.13
243		725		-6.625		0.149
244		25		-6.625		-0.132
245		125		-6.625		-0.431
246		225		-6.625		-0.882
247		325		-6.625		-1.631
248		425		-6.625		-2.381
